time_step,                           population_size,                           mean_age,                           mean_sex,                           mean_food_consumed,                           mean_pesticide_consumed,                           mortality_rate,mean_food1_consumed,mean_pesticide1_consumed,mean_pesticide2_consumed,trait1_mean_value,trait2_mean_value,mean_f
146, 1844, 3.007050, 0.000000, 1.784165, 0.000000, 0.007050,0.000000,0.000000,0.000000,-0.721140,-0.689488,0.000000
147, 1843, 4.000000, 0.000000, 1.785133, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.719039,-0.690146,0.000000
148, 3301, 1.009997, 0.000000, 0.754317, 0.000000, 0.245683,0.754317,0.000000,0.000000,-0.720971,-0.691044,0.000000
149, 2501, 2.008796, 0.000000, 1.617753, 0.000000, 0.004398,0.622151,0.000000,0.000000,-0.721495,-0.680594,0.000000
150, 2495, 3.002004, 0.000000, 1.621643, 0.000000, 0.002004,0.000000,0.000000,0.000000,-0.723960,-0.683604,0.000000
151, 2498, 4.000000, 0.000000, 1.619696, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.721852,-0.680506,0.000000
152, 4061, 1.011081, 0.000000, 0.531150, 0.000000, 0.468850,0.531150,0.000000,0.000000,-0.722856,-0.674549,0.000000
153, 2173, 2.014726, 0.000000, 1.549011, 0.000000, 0.007363,0.556374,0.000000,0.000000,-0.730424,-0.681721,0.000000
154, 2165, 3.003695, 0.000000, 1.554734, 0.000000, 0.003695,0.000000,0.000000,0.000000,-0.737008,-0.687351,0.000000
155, 2169, 4.000000, 0.000000, 1.551867, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.735460,-0.682579,0.000000
156, 3372, 1.005338, 0.000000, 0.367734, 0.000000, 0.632266,0.367734,0.000000,0.000000,-0.738289,-0.690796,0.000000
157, 1242, 2.003221, 0.000000, 1.579710, 0.000000, 0.001610,0.581320,0.000000,0.000000,-0.737144,-0.667371,0.000000
158, 1250, 3.008000, 0.000000, 1.569600, 0.000000, 0.008000,0.000000,0.000000,0.000000,-0.732374,-0.663268,0.000000
159, 1249, 4.000000, 0.000000, 1.570857, 0.000000, 1.000000,0.000000,0.000000,0.000000,-0.729885,-0.662649,0.000000
