"V3","V4","V102","V103","V104","V105"
57,125,2.519778,4.901613,1.02306,0.386807
67,109,3.604186,2.701825,1.144693,-0.199426
99,13,4.528241,3.246244,3.268693,-1.717865
97,40,3.884056,3.426918,2.953733,-1.591963
42,93,3.335358,4.318504,-1.986971,3.486839
40,99,3.876367,3.492472,-0.965808,2.346954
42,99,3.312078,1.733444,-1.66383,2.088768
103,87,2.433529,4.389377,1.775334,-0.610051
91,87,3.234384,4.239232,2.419155,-0.988002
106,44,3.59445,4.101697,2.428289,-0.907351
95,12,2.335835,6.381568,2.902074,-0.954245
80,116,3.393403,2.878055,2.159577,-1.224314
6,67,4.051858,3.844762,-1.227519,2.824804
77,123,2.725189,3.735292,0.933447,0.07953
71,124,4.235138,3.649219,1.252171,0.343688
84,49,3.183931,3.52935,2.846797,-1.728847
77,118,3.617085,3.277634,2.49243,-1.300418
93,92,4.930284,1.531397,2.040786,-1.033166
92,102,4.735334,1.28737,2.412917,-1.586419
80,79,4.736462,3.517562,2.456662,-0.708841
119,17,4.316797,3.116843,2.033519,-0.623586
121,18,4.809489,2.973077,1.971967,-0.41985
112,74,3.833256,1.45969,0.26531,0.261478
69,126,2.732197,4.241084,3.243996,-2.01561
91,23,4.002836,3.013977,3.350731,-2.110204
94,21,5.239693,2.231153,2.986914,-1.564284
90,27,3.921851,4.033992,3.646715,-2.01796
87,9,1.510225,6.485497,2.083974,-0.43187
80,3,2.935112,3.785515,2.112143,-0.991652
76,8,2.086834,2.808939,1.627857,-1.257193
117,82,2.768718,2.865961,2.24105,-1.566627
64,116,3.382231,2.232261,1.126026,-0.462982
56,116,2.060408,1.008258,-0.824742,0.43959
